year,split,league_short,league_full,region,tier,tournament,date_start,team,team_short,role,player_id,name_cn,real_name,country,residency,birthdate,is_retired,roster_link
2016,Summer,LSPL,LoL Secondary Pro League,中国次级,二级/青训,LSPL 2016 Summer,2016-05-23,2144 Gaming,,Jungle,Nova,김동현,Kim Dong-hyeon,South Korea,Korea,,1,Nova (Kim Dong-hyeon)
2016,Summer,LSPL,LoL Secondary Pro League,中国次级,二级/青训,LSPL 2016 Summer,2016-05-23,2144 Gaming,,Mid,q1,,,,,,,q1
2016,Summer,LSPL,LoL Secondary Pro League,中国次级,二级/青训,LSPL 2016 Summer,2016-05-23,2144 Gaming,,Bot,Ming (Zhang Ming),,,,,,,Ming (Zhang Ming)
2016,Summer,LSPL,LoL Secondary Pro League,中国次级,二级/青训,LSPL 2016 Summer,2016-05-23,2144 Gaming,,Bot,GouWa,,,,,,,GouWa
2016,Summer,LSPL,LoL Secondary Pro League,中国次级,二级/青训,LSPL 2016 Summer,2016-05-23,2144 Gaming,,Support,Gaeng,양광우,Yang Gwang-woo,South Korea,Asia Pacific,1996-08-10,1,Gaeng
2016,Summer,LSPL,LoL Secondary Pro League,中国次级,二级/青训,LSPL 2016 Summer,2016-05-23,2144 Gaming,,Support,Feng,甘奇峰,Gan Qi-Feng,China,China,,1,Feng (Gan Qi-Feng)
2015,Spring,LSPL,LoL Secondary Pro League,中国次级,二级/青训,LSPL 2015 Spring Relegation,2015-03-17,2144 Gaming,,Top,Han (Ki Dae-han),,,,,,,Han (Ki Dae-han)
2015,Spring,LSPL,LoL Secondary Pro League,中国次级,二级/青训,LSPL 2015 Spring Relegation,2015-03-17,2144 Gaming,,Jungle,Hyun (Kim Dong-hyeon),,,,,,,Hyun (Kim Dong-hyeon)
2015,Spring,LSPL,LoL Secondary Pro League,中国次级,二级/青训,LSPL 2015 Spring Relegation,2015-03-17,2144 Gaming,,Mid,Maple (Peng Zi-Wei),,,,,,,Maple (Peng Zi-Wei)
2015,Spring,LSPL,LoL Secondary Pro League,中国次级,二级/青训,LSPL 2015 Spring Relegation,2015-03-17,2144 Gaming,,Bot,Sprout (Shi Min-Dong),,,,,,,Sprout (Shi Min-Dong)
2015,Spring,LSPL,LoL Secondary Pro League,中国次级,二级/青训,LSPL 2015 Spring Relegation,2015-03-17,2144 Gaming,,Support,Minoko,,,,,,,Minoko
2015,Spring,LSPL,LoL Secondary Pro League,中国次级,二级/青训,LSPL 2015 Spring Relegation,2015-03-17,2144 Gaming,,Coach,Bigfafa,,,,,,,Bigfafa
2015,Summer,LSPL,LoL Secondary Pro League,中国次级,二级/青训,LSPL 2015 Summer,2015-05-26,2144 Gaming,,Top,Han (Ki Dae-han),,,,,,,Han (Ki Dae-han)
2015,Summer,LSPL,LoL Secondary Pro League,中国次级,二级/青训,LSPL 2015 Summer,2015-05-26,2144 Gaming,,Top,PLL,박재권,Park Jae-gwon,South Korea,Korea,1993-12-03,1,PLL
2015,Summer,LSPL,LoL Secondary Pro League,中国次级,二级/青训,LSPL 2015 Summer,2015-05-26,2144 Gaming,,Jungle,Hyun (Kim Dong-hyeon),,,,,,,Hyun (Kim Dong-hyeon)
2015,Summer,LSPL,LoL Secondary Pro League,中国次级,二级/青训,LSPL 2015 Summer,2015-05-26,2144 Gaming,,Mid,Maple (Peng Zi-Wei),,,,,,,Maple (Peng Zi-Wei)
2015,Summer,LSPL,LoL Secondary Pro League,中国次级,二级/青训,LSPL 2015 Summer,2015-05-26,2144 Gaming,,Bot,Sprout (Shi Min-Dong),,,,,,,Sprout (Shi Min-Dong)
2015,Summer,LSPL,LoL Secondary Pro League,中国次级,二级/青训,LSPL 2015 Summer,2015-05-26,2144 Gaming,,Support,Minoko,,,,,,,Minoko
2015,Spring,LSPL,LoL Secondary Pro League,中国次级,二级/青训,LSPL 2015 Spring,2015-01-20,2144 Gaming,,"Top,Jungle",Loser,,,,,,,Loser
2015,Spring,LSPL,LoL Secondary Pro League,中国次级,二级/青训,LSPL 2015 Spring,2015-01-20,2144 Gaming,,Top,JubSSal,현수환,Hyeon Soo-hwan,South Korea,Korea,1993-07-17,0,JubSSal
2015,Spring,LSPL,LoL Secondary Pro League,中国次级,二级/青训,LSPL 2015 Spring,2015-01-20,2144 Gaming,,Top,Han (Ki Dae-han),,,,,,,Han (Ki Dae-han)
2015,Spring,LSPL,LoL Secondary Pro League,中国次级,二级/青训,LSPL 2015 Spring,2015-01-20,2144 Gaming,,Jungle,Ayue,,,,,,,Ayue
2015,Spring,LSPL,LoL Secondary Pro League,中国次级,二级/青训,LSPL 2015 Spring,2015-01-20,2144 Gaming,,Jungle,Hyun (Kim Dong-hyeon),,,,,,,Hyun (Kim Dong-hyeon)
2015,Spring,LSPL,LoL Secondary Pro League,中国次级,二级/青训,LSPL 2015 Spring,2015-01-20,2144 Gaming,,Mid,Maple (Peng Zi-Wei),,,,,,,Maple (Peng Zi-Wei)
2015,Spring,LSPL,LoL Secondary Pro League,中国次级,二级/青训,LSPL 2015 Spring,2015-01-20,2144 Gaming,,Bot,Sprout (Shi Min-Dong),,,,,,,Sprout (Shi Min-Dong)
2015,Spring,LSPL,LoL Secondary Pro League,中国次级,二级/青训,LSPL 2015 Spring,2015-01-20,2144 Gaming,,Support,Minoko,,,,,,,Minoko
2015,Spring,LSPL,LoL Secondary Pro League,中国次级,二级/青训,LSPL 2015 Spring,2015-01-20,2144 Gaming,,Coach,Bigfafa,,,,,,,Bigfafa
2015,Summer,LSPL,LoL Secondary Pro League,中国次级,二级/青训,LSPL 2015 Summer Relegation,2015-07-14,2144 Gaming,,Top,PLL,박재권,Park Jae-gwon,South Korea,Korea,1993-12-03,1,PLL
2015,Summer,LSPL,LoL Secondary Pro League,中国次级,二级/青训,LSPL 2015 Summer Relegation,2015-07-14,2144 Gaming,,Jungle,Hyun (Kim Dong-hyeon),,,,,,,Hyun (Kim Dong-hyeon)
2015,Summer,LSPL,LoL Secondary Pro League,中国次级,二级/青训,LSPL 2015 Summer Relegation,2015-07-14,2144 Gaming,,Mid,Maple (Peng Zi-Wei),,,,,,,Maple (Peng Zi-Wei)
2015,Summer,LSPL,LoL Secondary Pro League,中国次级,二级/青训,LSPL 2015 Summer Relegation,2015-07-14,2144 Gaming,,Bot,Sprout (Shi Min-Dong),,,,,,,Sprout (Shi Min-Dong)
2015,Summer,LSPL,LoL Secondary Pro League,中国次级,二级/青训,LSPL 2015 Summer Relegation,2015-07-14,2144 Gaming,,Support,Minoko,,,,,,,Minoko
2016,Spring,LSPL,LoL Secondary Pro League,中国次级,二级/青训,LSPL 2016 Spring Playoffs,2016-04-10,2144 Gaming,,Top,Sky,하늘,Ha Neul,South Korea,Korea,,1,Sky (Ha Neul)
2016,Spring,LSPL,LoL Secondary Pro League,中国次级,二级/青训,LSPL 2016 Spring Playoffs,2016-04-10,2144 Gaming,,Jungle,Nova,김동현,Kim Dong-hyeon,South Korea,Korea,,1,Nova (Kim Dong-hyeon)
2016,Spring,LSPL,LoL Secondary Pro League,中国次级,二级/青训,LSPL 2016 Spring Playoffs,2016-04-10,2144 Gaming,,Mid,q1,,,,,,,q1
2016,Spring,LSPL,LoL Secondary Pro League,中国次级,二级/青训,LSPL 2016 Spring Playoffs,2016-04-10,2144 Gaming,,Bot,GouWa,,,,,,,GouWa
2016,Spring,LSPL,LoL Secondary Pro League,中国次级,二级/青训,LSPL 2016 Spring Playoffs,2016-04-10,2144 Gaming,,Support,Muyi,杨爽,Yang Shuang,China,China,,1,Muyi
2016,Spring,LSPL,LoL Secondary Pro League,中国次级,二级/青训,LSPL 2016 Spring,2016-01-18,2144 Gaming,,Top,Sky,하늘,Ha Neul,South Korea,Korea,,1,Sky (Ha Neul)
2016,Spring,LSPL,LoL Secondary Pro League,中国次级,二级/青训,LSPL 2016 Spring,2016-01-18,2144 Gaming,,Jungle,Nova,김동현,Kim Dong-hyeon,South Korea,Korea,,1,Nova (Kim Dong-hyeon)
2016,Spring,LSPL,LoL Secondary Pro League,中国次级,二级/青训,LSPL 2016 Spring,2016-01-18,2144 Gaming,,Mid,qi,,,,,,,qi
2016,Spring,LSPL,LoL Secondary Pro League,中国次级,二级/青训,LSPL 2016 Spring,2016-01-18,2144 Gaming,,Bot,GouWa,,,,,,,GouWa
2016,Spring,LSPL,LoL Secondary Pro League,中国次级,二级/青训,LSPL 2016 Spring,2016-01-18,2144 Gaming,,Support,Melantha,,,,,,,Melantha
2016,Spring,LSPL,LoL Secondary Pro League,中国次级,二级/青训,LSPL 2016 Spring,2016-01-18,2144 Gaming,,Support,Zzz (Gan Qi-Feng),,,,,,,Zzz (Gan Qi-Feng)
2016,Spring,LSPL,LoL Secondary Pro League,中国次级,二级/青训,LSPL 2016 Spring,2016-01-18,2144 Gaming,,Support,Muyi,杨爽,Yang Shuang,China,China,,1,Muyi
,,LSPL,LoL Secondary Pro League,中国次级,二级/青训,LSPL 2014 Summer,2014-06-10,AcFun e-Sports Club,,Top,Minoko,,,,,,,Minoko
,,LSPL,LoL Secondary Pro League,中国次级,二级/青训,LSPL 2014 Summer,2014-06-10,AcFun e-Sports Club,,Top,Bloodline,江涛,Jiang Tao,China,China,,1,Bloodline (Jiang Tao)
,,LSPL,LoL Secondary Pro League,中国次级,二级/青训,LSPL 2014 Summer,2014-06-10,AcFun e-Sports Club,,Jungle,无双,,,,,,,无双
,,LSPL,LoL Secondary Pro League,中国次级,二级/青训,LSPL 2014 Summer,2014-06-10,AcFun e-Sports Club,,"Mid,Jungle",包子,梁志斌,Liang Zhi-Bin,China,China,1997-03-29,1,包子
,,LSPL,LoL Secondary Pro League,中国次级,二级/青训,LSPL 2014 Summer,2014-06-10,AcFun e-Sports Club,,Mid,Nct,冯中豪,Feng Zhong-Hao,China,China,,1,Nct (Feng Zhong-Hao)
,,LSPL,LoL Secondary Pro League,中国次级,二级/青训,LSPL 2014 Summer,2014-06-10,AcFun e-Sports Club,,"Bot,Support",秋水伊人,,,,,,,秋水伊人
,,LSPL,LoL Secondary Pro League,中国次级,二级/青训,LSPL 2014 Summer,2014-06-10,AcFun e-Sports Club,,Bot,金角,,,,,,,金角
,,LSPL,LoL Secondary Pro League,中国次级,二级/青训,LSPL 2014 Summer,2014-06-10,AcFun e-Sports Club,,Support,Shine,陈鞅,Chen Yang,China,China,1993-06-14,1,Shine (Chen Yang)
2014,Spring,LSPL,LoL Secondary Pro League,中国次级,二级/青训,LSPL 2014 Spring Qualifier,2014-02-13,AcFun e-Sports Club,,Top,minoko,,,,,,,minoko
2014,Spring,LSPL,LoL Secondary Pro League,中国次级,二级/青训,LSPL 2014 Spring Qualifier,2014-02-13,AcFun e-Sports Club,,Jungle,EM,,,,,,,EM
2014,Spring,LSPL,LoL Secondary Pro League,中国次级,二级/青训,LSPL 2014 Spring Qualifier,2014-02-13,AcFun e-Sports Club,,Mid,592,,,,,,,592
2014,Spring,LSPL,LoL Secondary Pro League,中国次级,二级/青训,LSPL 2014 Spring Qualifier,2014-02-13,AcFun e-Sports Club,,Bot,Dnn (Xie Jin-Shan),,,,,,,Dnn (Xie Jin-Shan)
2014,Spring,LSPL,LoL Secondary Pro League,中国次级,二级/青训,LSPL 2014 Spring Qualifier,2014-02-13,AcFun e-Sports Club,,Support,xcy,,,,,,,xcy
,,LSPL,LoL Secondary Pro League,中国次级,二级/青训,LSPL 2014 Spring,2014-02-18,AcFun e-Sports Club,,Top,Minoko,,,,,,,Minoko
,,LSPL,LoL Secondary Pro League,中国次级,二级/青训,LSPL 2014 Spring,2014-02-18,AcFun e-Sports Club,,Jungle,EM,,,,,,,EM
,,LSPL,LoL Secondary Pro League,中国次级,二级/青训,LSPL 2014 Spring,2014-02-18,AcFun e-Sports Club,,Mid,592,,,,,,,592
,,LSPL,LoL Secondary Pro League,中国次级,二级/青训,LSPL 2014 Spring,2014-02-18,AcFun e-Sports Club,,Bot,Dnn (Xie Jin-Shan),,,,,,,Dnn (Xie Jin-Shan)
,,LSPL,LoL Secondary Pro League,中国次级,二级/青训,LSPL 2014 Spring,2014-02-18,AcFun e-Sports Club,,Support,Xcy,,,,,,,Xcy
2015,Summer,LSPL,LoL Secondary Pro League,中国次级,二级/青训,LSPL 2015 Summer,2015-05-26,AD Gaming,,Top,Mouse,陈宇浩,Chen Yu-Hao,China,China,1996-10-08,0,mouse
2015,Summer,LSPL,LoL Secondary Pro League,中国次级,二级/青训,LSPL 2015 Summer,2015-05-26,AD Gaming,,Jungle,qixiaoyin,王加超,Wang Jia-Chao,China,China,1993-06-03,1,qixiaoyin
2015,Summer,LSPL,LoL Secondary Pro League,中国次级,二级/青训,LSPL 2015 Summer,2015-05-26,AD Gaming,,Mid,Lan,李孝祥,Li Xiao-Xiang,China,China,,1,Lan
2015,Summer,LSPL,LoL Secondary Pro League,中国次级,二级/青训,LSPL 2015 Summer,2015-05-26,AD Gaming,,Mid,Snoopy,양여명,Yang Yeo-myeong,South Korea,Korea,1996-04-14,1,Snoopy (Yang Yeo-myeong)
2015,Summer,LSPL,LoL Secondary Pro League,中国次级,二级/青训,LSPL 2015 Summer,2015-05-26,AD Gaming,,Bot,Rq,秦博汉,Qin Bo-Han,China,China,1993-04-09,1,rq
2015,Summer,LSPL,LoL Secondary Pro League,中国次级,二级/青训,LSPL 2015 Summer,2015-05-26,AD Gaming,,Bot,Hide,길선호,Gil Seon-ho,South Korea,Korea,1996-05-11,1,Hide (Gil Seon-ho)
2015,Summer,LSPL,LoL Secondary Pro League,中国次级,二级/青训,LSPL 2015 Summer,2015-05-26,AD Gaming,,Support,Shine,陈鞅,Chen Yang,China,China,1993-06-14,1,Shine (Chen Yang)
2015,Summer,LSPL,LoL Secondary Pro League,中国次级,二级/青训,LSPL 2015 Summer,2015-05-26,AD Gaming,,Support,Road,윤한길,Yun Han-gil,South Korea,Korea,1995-09-30,0,road (Yun Han-gil)
2015,Summer,LSPL,LoL Secondary Pro League,中国次级,二级/青训,LSPL 2015 Summer Relegation,2015-07-14,AD Gaming,,Top,Mouse,陈宇浩,Chen Yu-Hao,China,China,1996-10-08,0,mouse
2015,Summer,LSPL,LoL Secondary Pro League,中国次级,二级/青训,LSPL 2015 Summer Relegation,2015-07-14,AD Gaming,,Jungle,qixiaoyin,王加超,Wang Jia-Chao,China,China,1993-06-03,1,qixiaoyin
2015,Summer,LSPL,LoL Secondary Pro League,中国次级,二级/青训,LSPL 2015 Summer Relegation,2015-07-14,AD Gaming,,Mid,Snoopy,양여명,Yang Yeo-myeong,South Korea,Korea,1996-04-14,1,Snoopy (Yang Yeo-myeong)
2015,Summer,LSPL,LoL Secondary Pro League,中国次级,二级/青训,LSPL 2015 Summer Relegation,2015-07-14,AD Gaming,,Bot,Rq,秦博汉,Qin Bo-Han,China,China,1993-04-09,1,rq
2015,Summer,LSPL,LoL Secondary Pro League,中国次级,二级/青训,LSPL 2015 Summer Relegation,2015-07-14,AD Gaming,,Support,Road,윤한길,Yun Han-gil,South Korea,Korea,1995-09-30,0,road (Yun Han-gil)
2015,Spring,LSPL,LoL Secondary Pro League,中国次级,二级/青训,LSPL 2015 Spring Playoffs,2015-03-25,AD Gaming,,Top,Ray,전지원,Jeon Ji-won,South Korea,Korea,1998-03-15,0,Ray
2015,Spring,LSPL,LoL Secondary Pro League,中国次级,二级/青训,LSPL 2015 Spring Playoffs,2015-03-25,AD Gaming,,Jungle,qixiaoyin,王加超,Wang Jia-Chao,China,China,1993-06-03,1,qixiaoyin
2015,Spring,LSPL,LoL Secondary Pro League,中国次级,二级/青训,LSPL 2015 Spring Playoffs,2015-03-25,AD Gaming,,Mid,BaeMe,강양현,Kang Yang-hyun,South Korea,Korea,1993-10-27,1,BaeMe
2015,Spring,LSPL,LoL Secondary Pro League,中国次级,二级/青训,LSPL 2015 Spring Playoffs,2015-03-25,AD Gaming,,Bot,Rq,秦博汉,Qin Bo-Han,China,China,1993-04-09,1,rq
2015,Spring,LSPL,LoL Secondary Pro League,中国次级,二级/青训,LSPL 2015 Spring Playoffs,2015-03-25,AD Gaming,,Support,Shine,陈鞅,Chen Yang,China,China,1993-06-14,1,Shine (Chen Yang)
2015,Spring,LSPL,LoL Secondary Pro League,中国次级,二级/青训,LSPL 2015 Spring,2015-01-20,AD Gaming,,Top,Ray,전지원,Jeon Ji-won,South Korea,Korea,1998-03-15,0,Ray
2015,Spring,LSPL,LoL Secondary Pro League,中国次级,二级/青训,LSPL 2015 Spring,2015-01-20,AD Gaming,,Jungle,qixiaoyin,王加超,Wang Jia-Chao,China,China,1993-06-03,1,qixiaoyin
2015,Spring,LSPL,LoL Secondary Pro League,中国次级,二级/青训,LSPL 2015 Spring,2015-01-20,AD Gaming,,Jungle,Move,강민수,Kang Min-su,South Korea,Korea,1994-07-21,1,Move
2015,Spring,LSPL,LoL Secondary Pro League,中国次级,二级/青训,LSPL 2015 Spring,2015-01-20,AD Gaming,,Mid,BaeMe,강양현,Kang Yang-hyun,South Korea,Korea,1993-10-27,1,BaeMe
2015,Spring,LSPL,LoL Secondary Pro League,中国次级,二级/青训,LSPL 2015 Spring,2015-01-20,AD Gaming,,Mid,Lan,李孝祥,Li Xiao-Xiang,China,China,,1,Lan
2015,Spring,LSPL,LoL Secondary Pro League,中国次级,二级/青训,LSPL 2015 Spring,2015-01-20,AD Gaming,,Bot,Rq,秦博汉,Qin Bo-Han,China,China,1993-04-09,1,rq
2015,Spring,LSPL,LoL Secondary Pro League,中国次级,二级/青训,LSPL 2015 Spring,2015-01-20,AD Gaming,,Support,Shine,陈鞅,Chen Yang,China,China,1993-06-14,1,Shine (Chen Yang)
,,LSPL,LoL Secondary Pro League,中国次级,二级/青训,LSPL 2014 Summer,2014-06-10,All Gamers,,Top,Paladin,冯皓,Feng Hao,China,China,,1,Paladin (Feng Hao)
,,LSPL,LoL Secondary Pro League,中国次级,二级/青训,LSPL 2014 Summer,2014-06-10,All Gamers,,Top,QRen,任强,Ren Qiang,China,China,,1,QRen
,,LSPL,LoL Secondary Pro League,中国次级,二级/青训,LSPL 2014 Summer,2014-06-10,All Gamers,,Jungle,xb,,,,,,,xb
,,LSPL,LoL Secondary Pro League,中国次级,二级/青训,LSPL 2014 Summer,2014-06-10,All Gamers,,"Jungle,Bot",Devi1,董志豪,Dong Zhi-Hao,China,China,,1,Devi1
,,LSPL,LoL Secondary Pro League,中国次级,二级/青训,LSPL 2014 Summer,2014-06-10,All Gamers,,"Mid,Top",xiong,唐超峰,Tang Chao-Feng,China,China,,1,xiong
,,LSPL,LoL Secondary Pro League,中国次级,二级/青训,LSPL 2014 Summer,2014-06-10,All Gamers,,"Mid,Jungle,Bot",Xmm,张皓韦,Zhang Hao-Wei,China,China,,1,Xmm
,,LSPL,LoL Secondary Pro League,中国次级,二级/青训,LSPL 2014 Summer,2014-06-10,All Gamers,,"Mid,Bot",Xyq,滕云强,Teng Yun-Qiang,China,China,,1,Xyq
,,LSPL,LoL Secondary Pro League,中国次级,二级/青训,LSPL 2014 Summer,2014-06-10,All Gamers,,Bot,Define,唐健鑫,Tang Jian-Xin,China,China,,1,Define (Tang Jian-Xin)
,,LSPL,LoL Secondary Pro League,中国次级,二级/青训,LSPL 2014 Summer,2014-06-10,All Gamers,,Support,Dgg,杨奥,Yang Ao,China,China,,1,Dgg
,,LSPL,LoL Secondary Pro League,中国次级,二级/青训,LSPL 2014 Spring,2014-02-18,All Gamers,,Top,若梦三千,,,,,,,若梦三千
,,LSPL,LoL Secondary Pro League,中国次级,二级/青训,LSPL 2014 Spring,2014-02-18,All Gamers,,Jungle,小白,,,,,,,小白
,,LSPL,LoL Secondary Pro League,中国次级,二级/青训,LSPL 2014 Spring,2014-02-18,All Gamers,,Mid,BUG,徐晃,Xu Huang,China,China,,1,BUG (Xu Huang)
,,LSPL,LoL Secondary Pro League,中国次级,二级/青训,LSPL 2014 Spring,2014-02-18,All Gamers,,Bot,QUEENRAY,雷孝晨,Lei Xiao-Chen,China,China,,1,QUEENRAY
,,LSPL,LoL Secondary Pro League,中国次级,二级/青训,LSPL 2014 Spring,2014-02-18,All Gamers,,Support,陈得柱,,,,,,,陈得柱
2014,Spring,LSPL,LoL Secondary Pro League,中国次级,二级/青训,LSPL 2014 Spring Qualifier,2014-02-13,All Gamers,,Top,若梦三千,,,,,,,若梦三千
2014,Spring,LSPL,LoL Secondary Pro League,中国次级,二级/青训,LSPL 2014 Spring Qualifier,2014-02-13,All Gamers,,Jungle,小白,,,,,,,小白
2014,Spring,LSPL,LoL Secondary Pro League,中国次级,二级/青训,LSPL 2014 Spring Qualifier,2014-02-13,All Gamers,,Mid,BUG,徐晃,Xu Huang,China,China,,1,BUG (Xu Huang)
2014,Spring,LSPL,LoL Secondary Pro League,中国次级,二级/青训,LSPL 2014 Spring Qualifier,2014-02-13,All Gamers,,Mid,YANGYANG,杨阳,Yang Yang,China,China,,1,YANGYANG
2014,Spring,LSPL,LoL Secondary Pro League,中国次级,二级/青训,LSPL 2014 Spring Qualifier,2014-02-13,All Gamers,,Mid,HyaCinth,,,,,,,HyaCinth
2014,Spring,LSPL,LoL Secondary Pro League,中国次级,二级/青训,LSPL 2014 Spring Qualifier,2014-02-13,All Gamers,,Bot,QUEENRAY,雷孝晨,Lei Xiao-Chen,China,China,,1,QUEENRAY
2014,Spring,LSPL,LoL Secondary Pro League,中国次级,二级/青训,LSPL 2014 Spring Qualifier,2014-02-13,All Gamers,,Support,陈得柱,,,,,,,陈得柱
2017,Spring,LSPL,LoL Secondary Pro League,中国次级,二级/青训,LSPL 2017 Spring,2017-01-17,DAN Gaming,,Top,Lies,郭昊天,Guo Hao-Tian,China,China,1997-12-28,1,Lies (Guo Hao-Tian)
2017,Spring,LSPL,LoL Secondary Pro League,中国次级,二级/青训,LSPL 2017 Spring,2017-01-17,DAN Gaming,,Jungle,Karin,정수종,Jeong Soo-jong,South Korea,Korea,1995-01-29,1,Karin
2017,Spring,LSPL,LoL Secondary Pro League,中国次级,二级/青训,LSPL 2017 Spring,2017-01-17,DAN Gaming,,Jungle,fishball,王宇,Wang Yu,China,China,1996-12-17,1,Fishball
2017,Spring,LSPL,LoL Secondary Pro League,中国次级,二级/青训,LSPL 2017 Spring,2017-01-17,DAN Gaming,,Mid,Ggoong,유병준,Yu Byeong-jun,South Korea,Korea,1993-06-26,0,Ggoong
