player_id,position,league,tier,games,winrate,操作,意识,心态,团队,体质,总评,box_综合,impact,final_z,teams
Xing,bot,LPL,1,51,0.275,31.5,42.0,30.3,35.0,24.1,33.7,49.1,33.4,-1.316,Team WE
Ellim,jng,LCK,1,92,0.391,22.5,36.0,36.4,44.0,39.1,33.7,44.8,38.7,-1.316,DN SOOPers
New,top,LPL,1,44,0.273,27.8,29.2,46.8,31.3,43.1,33.6,50.0,32.5,-1.329,Qing Jiu E-sport Club|ThunderTalk Gaming
Lost,bot,LCS,1,40,0.325,25.2,33.9,40.4,47.6,26.6,33.6,42.8,42.0,-1.329,Golden Guardians|Immortals
OnFleek,jng,LCK,1,81,0.284,26.9,43.7,31.0,31.7,32.1,33.3,50.9,31.5,-1.374,Hanwha Life Esports
SamD,bot,LCK,1,75,0.32,28.3,40.4,33.5,34.6,27.4,33.2,46.1,35.5,-1.388,Hanwha Life Esports|Hanwha Life Esports Challengers
H4cker,jng,LPL,1,79,0.342,29.6,30.6,38.8,34.7,36.0,32.9,48.3,32.8,-1.425,Ultra Prime
Biubiu,top,LPL,1,71,0.31,28.9,42.2,22.6,41.5,24.2,32.8,49.4,31.8,-1.448,Team WE
DuDu,top,LCK,1,89,0.27,35.0,32.6,29.0,34.5,29.5,32.7,52.1,30.4,-1.456,Hanwha Life Esports
Gilius,jng,LEC,1,36,0.389,27.7,32.0,37.1,40.4,29.4,32.6,40.0,43.8,-1.475,SK Gaming
xMatty,bot,LEC,1,38,0.211,35.2,22.7,41.2,39.4,24.3,32.3,48.2,31.9,-1.528,Team BDS|Team BDS Academy
YeG,mid,LPL,1,39,0.333,31.1,30.2,34.3,33.8,34.9,32.3,41.8,39.1,-1.522,LGD Gaming|Qing Jiu E-sport Club
Jay,mid,LPL,1,25,0.32,28.8,32.0,36.9,38.9,23.3,31.9,41.5,38.3,-1.586,LGD Gaming
nuc,mid,LEC,1,36,0.194,26.5,31.1,36.1,41.0,27.6,31.7,46.9,31.9,-1.63,Team BDS
ShiauC,sup,LPL,1,68,0.353,33.0,34.6,27.4,32.6,26.3,31.7,43.1,35.3,-1.626,Ultra Prime
Jinjiao,sup,LPL,1,84,0.333,37.7,29.1,27.5,27.0,32.6,31.5,46.0,32.2,-1.667,LGD Gaming
Karis,mid,LCK,1,89,0.27,22.3,34.4,29.2,45.1,29.8,31.1,48.1,30.4,-1.758,Hanwha Life Esports
