id,hangul,zh,source,note
Gori,김태우,金泰佑,https://baike.baidu.com/item/%E9%87%91%E6%B3%B0%E4%BD%91/58207604,also 懂球帝: FPX官宣 中单金泰佑Gori
Grizzly,조승훈,赵胜训,https://bbs.hupu.com/636499609.html,定稿：UP 官宣繁体 趙勝訓，转简体
Life,김정민,金玎玟,https://baike.baidu.com/item/%E9%87%91%E7%8E%8E%E7%8E%9F/58097608,also FPX official announcement on 虎扑 (选手金玎玟（ID:Life）); 搜狗百科
Zeus,최우제,崔祐齐,https://baike.baidu.com/item/%E5%B4%94%E7%A5%90%E9%BD%90/61479530,also zh.wikipedia; 萌娘百科
TheShy,강승록,姜承录,https://baike.baidu.com/item/%E5%A7%9C%E6%89%BF%E9%8C%B2/23111911,定稿：简体（百度百科写作 姜承録）
Rookie,송의진,宋义进,https://zh.wikipedia.org/wiki/%E5%AE%8B%E4%B9%89%E8%BF%9B,also 萌娘百科
ADD,강건모,姜建模,https://wiki.biligame.com/lol/ADD,BWIKI 姓名 姜建模(강건모); also 电竞风 profile 姜建模 (top; MVP/BLG/SN/AZE/ISG)
Jelly,손호경,,,No Chinese source found (BWIKI and 电竞风 give Hangul only)
Kanavi,서진혁,徐进赫,https://baike.baidu.com/item/%E5%BE%90%E8%BF%9B%E8%B5%AB/49739734,also 萌娘百科; 电竞风
Cuzz,문우찬,文友赞,https://baike.baidu.com/item/%E6%96%87%E5%8F%8B%E8%B5%9E/57132832,also 萌娘百科
Bdd,곽보성,郭普成,https://baike.baidu.com/item/%E9%83%AD%E6%99%AE%E6%88%90/58350672,also 萌娘百科
PerfecT,이승민,,,No Chinese-character name found: Wanplus/5EPlay/Sohu KT articles use the ID only; no BWIKI or Dianjingfeng page
VicLa,이대광,李大光,https://baike.baidu.com/item/%E6%9D%8E%E5%A4%A7%E5%85%89/63834437,"Baidu Baike 李大光（韩国《英雄联盟》职业选手）: KT Academy→KT 2022, LCK 2022 ROTY, later FlyQuest/RA"
Peter,정윤수,郑尹洙,https://baike.baidu.com/item/%E9%83%91%E5%B0%B9%E6%B4%99/60019462,"Baidu Baike 郑尹洙（游戏ID：Peter）: b. 2003-04-28, NS→KT support; BWIKI shows Hangul only"
Dove,김재연,金宰渊,https://baike.baidu.com/item/%E9%87%91%E5%AE%B0%E6%B8%8A/57278374,"Baidu Baike: mid, BtC/SB/iG/Dignitas, b. 1998-07-25"
Prince,이채환,李采桓,https://baike.baidu.com/item/%E6%9D%8E%E9%87%87%E6%A1%93/55842977,Also 17173 and ScoreGG (WE官宣「Prince（李采桓）」) and Sogou Baike; ADC ex-FPX/LSB/WE
Doinb,김태상,金泰相,https://baike.baidu.com/item/%E9%87%91%E6%B3%B0%E7%9B%B8/22226445,"Also zh.wikipedia, 萌娘百科, BWIKI; consistent"
Croc,박종훈,朴钟勋,https://www.wanplus.cn/article/25539.html,LGD 2017 signing announcement: 韩国打野选手朴钟勋「PARK JONG HOON」→LGD.Croc; BWIKI lists LGD among this Croc's former teams (same player as LOUD). Single source
Route,문검수,,,No Chinese-character name found: BWIKI page shows Hangul only
Chasy,김동현,,,No Chinese-character name found: Baidu Baike entry 'Chasy' exists but gives no Chinese real name; BWIKI Hangul only
Bong,조보웅,,,No Chinese-character name found: BWIKI page shows Hangul only
Mireu,정조빈,,,No Chinese-character name found: BWIKI Hangul only; Wanplus HLE article uses ID only
Summit,박우태,朴遇台,https://baike.baidu.com/item/%E6%9C%B4%E9%81%87%E5%8F%B0/61672493,定稿：百度百科、FPX 官宣
Keine,김준철,,,No Chinese-character name found: Wanplus player page shows ID only; no BWIKI/Dianjingfeng page
Ignar,이동근,李东根,https://wiki.biligame.com/lol/IgNar,BWIKI 姓名「李东根(이동근)」b. 1996-11-20; Baidu Baike entry 李东根 (baike.baidu.com/item/%E6%9D%8E%E4%B8%9C%E6%A0%B9/59992942) agrees
Wizer,최의석,,,No Chinese-character name found; no BWIKI/Dianjingfeng page
Kuri,최원영,,,No Chinese-character name found; no BWIKI/Dianjingfeng page
Malrang,김근성,金根成,https://www.dianjingfeng.com/player/malrang/,Dianjingfeng「姓名：金根成」(RGE; ex DK/KT). Baidu Baike entry titled 'Malrang' exists but was unreadable (403); BWIKI Hangul only. Single readable source
Oner,문현준,文炫竣,https://baike.baidu.com/item/%E6%96%87%E7%82%AB%E7%AB%A3/58057378,Also 萌娘百科 and Sina news (Oner-文炫竣); consistent
Faker,이상혁,李相赫,https://baike.baidu.com/item/%E6%9D%8E%E7%9B%B8%E8%B5%AB/19669683,"Also zh.wikipedia, 萌娘百科; consistent"
Gumayusi,이민형,李珉炯,https://baike.baidu.com/item/%E6%9D%8E%E7%8F%89%E7%82%AF/61621150,定稿：百度百科、中文维基；BWIKI / 萌娘写作 李玟炯
Keria,류민석,柳岷析,https://baike.baidu.com/item/%E6%9F%B3%E5%B2%B7%E6%9E%90/57152118,定稿：百度百科、维基、腾讯新闻多数
UmTi,엄성현,严成贤,https://www.dianjingfeng.com/player/umti/,"Dianjingfeng「姓名：严成贤」(b. 1999, BRO, ex-KT). Single source; Wanplus player page shows ID only"
Yeon,성연호,,,No Chinese-character name found: BWIKI 姓名 field is 'Sean Sung' (US-born)
CoreJJ,조용인,曺容仁,https://baike.baidu.com/item/%E6%9B%BA%E5%AE%B9%E4%BB%81/58488726,定稿：百度百科、BWIKI；萌娘写作 曹容仁
Rich,이재원,李在元,https://baike.baidu.com/item/%E6%9D%8E%E5%9C%A8%E5%85%83/58209603,"Baidu Baike 李在元（游戏ID：Rich）: ex-Heroes of the Storm pro, Gen.G/DYN/NS/V5; 萌娘百科 also 李在元"
kyeahoo,강예후,,,No Chinese-character name found: 3DM KC roster gives Hangul/romanization only; Sina news uses ID only
Saint,강성인,姜成仁,https://m.chaofan.com/news/e35s2spsxp2xb0l.html,超凡电竞 MSI 2026 interview:「'Saint'姜成仁在距离决赛仅一步之遥…」. Single source; 3DM LYON roster shows Hangul only
Bay,박준병,朴俊炳,https://wiki.biligame.com/lol/Bay,"BWIKI 姓名「朴俊炳(박준병)」b. 2002-02-19, ex PSG/NS/DYN/GRF. Single source"
Lonely,한규준,韩圭俊,https://wiki.biligame.com/lol/Lonely,"BWIKI 姓名「韩圭俊(한규준)」b. 2000-08-29, AZE, ex GEN.C/SB. Single source"
5kid,박정현,朴正贤,https://wiki.biligame.com/lol/5kid,"BWIKI 姓名「朴正贤(박정현)」b. 1999-11-28, AZE, ex KT/KT.C. Single source"
Morgan,박루한,朴基泰,https://wiki.biligame.com/lol/Morgan,定稿：中文来源都写改名前的 朴基泰（박기태），生日与队伍对得上
